followers_count,following_count,tweet_count,account_age_days,listed_count,verified,default_profile,default_profile_image,geo_enabled,description_length,avg_tweets_per_day,avg_retweet_ratio,label
3769,1589,8223,2641,33,0.0,0.0,0,1,125,8.548282458599447,0.29265574704140007,0.0
1802,1879,7954,2926,99,0.0,0.0,0,1,118,10.424170324558155,0.29305319311097366,0.0
128,2217,21805,266,1,0.0,1.0,1,0,33,194.08081112684505,0.9473955480796945,1.0
4557,427,499,993,95,0.0,0.0,0,1,74,5.939723557683598,0.49814071471454624,0.0
1649,333,6688,1411,6,0.0,0.0,0,1,126,5.507621222732871,0.18809053550993327,0.0
1867,1240,4930,1210,85,0.0,0.0,0,1,145,4.451404301021437,0.18671340663052327,0.0
133,4190,2907,116,1,0.0,1.0,0,0,39,76.97038518385233,0.863364569551349,1.0
360,1063,6290,1058,28,0.0,0.0,0,1,136,16.791676393315242,0.2390552358739651,0.0
1824,1290,1157,1433,63,0.0,0.0,0,1,91,2.5504585328092593,0.3376622569452883,0.0
490,2385,6074,174,2,0.0,1.0,1,1,36,23.344460129917852,0.8686907603478546,1.0
320,1631,10107,37,3,0.0,1.0,1,0,45,146.44948102830412,0.9300645625279436,1.0
1481,637,6387,1413,15,0.0,0.0,0,1,153,10.204303203214462,0.35513061988307404,0.0
4621,571,9539,2487,86,0.0,0.0,0,1,95,6.839619029485481,0.14560669008580696,0.0
1939,1409,3942,2437,66,0.0,0.0,0,1,98,2.286451474809547,0.21257483314840311,0.0
235,1404,2914,1403,4,0.0,0.0,1,0,71,18.533346389602475,0.11051291066687435,0.0
1466,726,1400,2742,70,0.0,0.0,1,0,57,4.592677455189835,0.3718355710244501,0.0
328,3196,37942,296,4,0.0,1.0,1,0,14,91.38414103608392,0.8724386602444372,1.0
393,1786,9992,2100,66,0.0,0.0,0,1,82,6.379132577794348,0.23133563357692882,0.0
3826,1749,1829,2997,2,0.0,0.0,0,1,92,10.728152394871609,0.3612208211098433,0.0
480,380,68,606,18,0.0,0.0,0,0,108,4.498888786242895,0.39568075371815703,0.0
4353,350,5188,1973,50,0.0,0.0,0,1,61,6.288708255969853,0.16853387912022916,0.0
46,3453,38383,117,4,0.0,1.0,1,0,26,153.3552733931192,0.7645507398671423,1.0
2254,1215,3913,1826,34,0.0,0.0,0,1,80,8.88637242377849,0.17103585138302974,0.0
1601,1793,3877,1685,17,0.0,0.0,0,0,80,10.95905706854643,0.11061259352599136,0.0
1440,470,7545,3366,52,0.0,0.0,0,1,129,11.236920375130467,0.2107460765574476,0.0
3104,993,7641,1489,17,0.0,0.0,0,0,138,14.094553302084977,0.34057022521311253,0.0
107,1454,4052,11,4,0.0,1.0,0,1,18,175.364113254169,0.9454122190720666,1.0
1227,1253,908,717,94,0.0,0.0,0,0,140,3.201960410464255,0.21923983020903426,0.0
2393,1828,3291,1027,6,0.0,0.0,0,0,155,14.272464446961243,0.4604763938595319,0.0
618,1895,7036,1651,74,0.0,0.0,0,0,114,19.737628836368796,0.4643101048769138,0.0
412,4808,13632,88,2,0.0,1.0,1,1,6,83.24462257972056,0.9045932634674736,1.0
165,4659,26020,255,3,0.0,1.0,1,0,19,186.9430304438168,0.9198252616473397,1.0
